timestamp,cpu_percent,mem_usage,mem_percent,net_io,block_io,pids
2026-03-16T00:30:49.9321156+02:00,193.71%,380MiB / 3.672GiB,10.11%,53.8MB / 33.5MB,118MB / 0B,46
2026-03-16T00:30:53.0337372+02:00,204.94%,380.9MiB / 3.672GiB,10.13%,55.2MB / 34.5MB,118MB / 0B,46
2026-03-16T00:30:55.1560372+02:00,204.25%,380.2MiB / 3.672GiB,10.11%,56.5MB / 35.3MB,118MB / 0B,45
2026-03-16T00:30:57.2829805+02:00,206.78%,380.1MiB / 3.672GiB,10.11%,57.8MB / 36.3MB,118MB / 0B,47
2026-03-16T00:30:59.5960248+02:00,419.22%,380.4MiB / 3.672GiB,10.12%,59MB / 36.8MB,118MB / 0B,46
2026-03-16T00:31:02.7532963+02:00,208.63%,380.1MiB / 3.672GiB,10.11%,61.9MB / 37.8MB,118MB / 0B,46
2026-03-16T00:31:04.9086316+02:00,213.49%,380.1MiB / 3.672GiB,10.11%,64.1MB / 38.5MB,118MB / 0B,46
2026-03-16T00:31:07.0499229+02:00,209.62%,380.1MiB / 3.672GiB,10.11%,66.7MB / 39.3MB,118MB / 0B,46
2026-03-16T00:31:09.3352231+02:00,188.13%,380.1MiB / 3.672GiB,10.11%,68.6MB / 40MB,118MB / 0B,47
2026-03-16T00:31:12.5198379+02:00,209.86%,379.8MiB / 3.672GiB,10.10%,72MB / 41.1MB,118MB / 0B,47
2026-03-16T00:31:14.6722995+02:00,212.49%,380.4MiB / 3.672GiB,10.12%,74.3MB / 41.9MB,118MB / 0B,47
2026-03-16T00:31:16.7962343+02:00,206.53%,379.9MiB / 3.672GiB,10.10%,76.8MB / 42.7MB,118MB / 0B,47
2026-03-16T00:31:18.9286882+02:00,201.51%,379.8MiB / 3.672GiB,10.10%,78.9MB / 43.4MB,118MB / 0B,47
2026-03-16T00:31:21.9975473+02:00,1.84%,379.5MiB / 3.672GiB,10.09%,79MB / 43.5MB,118MB / 0B,45
2026-03-16T00:31:24.1256974+02:00,1.61%,379.3MiB / 3.672GiB,10.09%,79MB / 43.5MB,118MB / 0B,45
2026-03-16T00:31:26.2383499+02:00,1.47%,379.3MiB / 3.672GiB,10.09%,79MB / 43.5MB,118MB / 0B,45
2026-03-16T00:31:28.9669560+02:00,1.90%,379.3MiB / 3.672GiB,10.09%,79MB / 43.5MB,118MB / 0B,45
2026-03-16T00:31:32.6835963+02:00,3.81%,379.3MiB / 3.672GiB,10.09%,79MB / 43.5MB,118MB / 0B,45
